iter	RMSE
0	544.3770988
1	525.1984864
2	506.887365
3	489.6519764
4	472.2162385
5	455.2069647
6	439.4516568
7	423.7828048
8	409.2758585
9	394.1063375
10	379.4556555
11	366.1236875
12	352.5541144
13	339.6470877
14	327.6895916
15	317.4268416
16	307.2372552
17	296.9669984
18	286.3399622
19	276.0729763
20	267.7187495
21	258.9928618
22	251.1855495
23	242.2273431
24	234.0919963
25	225.928225
26	218.0156815
27	210.3903236
28	203.5747655
29	196.4362895
30	190.6311787
31	183.9855283
32	177.5333782
33	171.7852821
34	166.0361784
35	160.6199479
36	155.2283158
37	150.5887705
38	146.145328
39	141.0792668
40	135.9105385
41	131.2483207
42	126.6485823
43	122.4211222
44	118.3225779
45	114.5279025
46	111.2128031
47	107.1753797
48	104.1570954
49	100.3090748
50	96.66893335
51	93.20698701
52	89.98464523
53	86.8985356
54	83.9645459
55	80.98726018
56	78.27904528
57	75.92919841
58	73.18908943
59	70.93192274
60	68.74681726
61	66.41110339
62	64.02701533
63	61.7161057
64	59.77861374
65	57.90121315
66	56.14128185
67	54.12385382
68	52.18937684
69	50.55767186
70	48.81418853
71	47.28989287
72	45.56351872
73	43.95293925
74	42.35317783
75	40.90706606
76	39.49001949
77	38.18377391
78	36.91365955
79	35.60624001
80	34.41634771
81	33.34500724
82	32.19166273
83	31.08758697
84	30.11401876
85	29.19726148
86	28.23452846
87	27.38941612
88	26.52374971
89	25.62507491
90	24.79178935
91	23.95787458
92	23.29257681
93	22.5719332
94	21.86443507
95	21.19386647
96	20.51841031
97	19.86674467
98	19.17714679
99	18.54680665
100	18.01478502
101	17.46052862
102	16.89435791
103	16.39595195
104	15.89005004
105	15.42708678
106	14.94298565
107	14.49468516
108	14.11136854
109	13.67249394
110	13.26166548
111	12.85921287
112	12.47278521
113	12.1195246
114	11.79468138
115	11.43148811
116	11.11000052
117	10.7839681
118	10.50696644
119	10.24808481
120	10.00746278
121	9.750197288
122	9.494146539
123	9.253515685
124	9.048248622
125	8.824809183
126	8.589826223
127	8.369469256
128	8.160874341
129	7.966778807
130	7.765759083
131	7.584355144
132	7.420437569
133	7.225940626
134	7.042697665
135	6.910783429
136	6.733662509
137	6.564472088
138	6.444122868
139	6.304867907
140	6.160901866
141	6.028806692
142	5.89202846
143	5.778130064
144	5.653032483
145	5.550418975
146	5.429973318
147	5.31956194
148	5.206334493
149	5.100023764
150	5.007980667
151	4.91811234
152	4.821753393
153	4.731598076
154	4.638445004
155	4.542325965
156	4.445809258
157	4.365974712
158	4.288075713
159	4.222715997
160	4.15154068
161	4.075539979
162	4.006363561
163	3.935186125
164	3.877162942
165	3.813399892
166	3.756245143
167	3.697573083
168	3.632867451
169	3.570719801
170	3.5221144
171	3.477434525
172	3.422099123
173	3.361298746
174	3.31488262
175	3.262104533
176	3.213515874
177	3.179628117
178	3.14292587
179	3.100793539
180	3.064927777
181	3.020652223
182	2.977776305
183	2.937563825
184	2.899358787
185	2.865645253
186	2.833148713
187	2.802260774
188	2.770231207
189	2.73616475
190	2.705419577
191	2.678484366
192	2.652889854
193	2.623608678
194	2.597233649
195	2.570620628
196	2.545389415
197	2.518649061
198	2.495856559
199	2.472804173
200	2.452653941
201	2.432169724
202	2.413978581
203	2.389898321
204	2.366739328
205	2.345274984
206	2.320716162
207	2.297422105
208	2.278121168
209	2.258009909
210	2.235826977
211	2.218249043
212	2.19987756
213	2.184000397
214	2.166541381
215	2.153735654
216	2.141437961
217	2.125794476
218	2.110938034
219	2.09662438
220	2.084017392
221	2.070943107
222	2.055706077
223	2.041837416
224	2.024950342
225	2.010370716
226	1.996060973
227	1.984356515
228	1.970680995
229	1.955840299
230	1.944219575
231	1.930018494
232	1.916471508
233	1.909396554
234	1.898422557
235	1.89107113
236	1.876915473
237	1.868403085
238	1.856618057
239	1.849871125
240	1.835938503
241	1.82468015
242	1.810900256
243	1.80085769
244	1.786899805
245	1.778581722
246	1.766097685
247	1.755575916
248	1.740650326
249	1.726752855
250	1.716193356
251	1.705730906
252	1.696543947
253	1.68387047
254	1.672616556
255	1.664925389
256	1.65093779
257	1.637737181
258	1.625165495
259	1.616115834
260	1.608073214
261	1.600911574
262	1.59238055
263	1.584006227
264	1.574892832
265	1.562738109
266	1.554356574
267	1.546841284
268	1.536619995
269	1.528520872
270	1.517720724
271	1.507425557
272	1.499478372
273	1.492699017
274	1.483456328
275	1.475939108
276	1.471325335
277	1.461545521
278	1.455909599
279	1.449876445
280	1.443589234
281	1.436626061
282	1.429898292
283	1.424188932
284	1.417640445
285	1.408715266
286	1.399284553
287	1.392569933
288	1.387124202
289	1.380037564
290	1.374294876
291	1.368006331
292	1.362740744
293	1.35795878
294	1.352813962
295	1.348142655
296	1.340777349
297	1.335925594
298	1.328468103
299	1.324155593
300	1.318054581
301	1.311007649
302	1.307690695
303	1.302626741
304	1.297974781
305	1.293801591
306	1.289931149
307	1.283985615
308	1.278750835
309	1.274493349
310	1.270980759
311	1.264731705
312	1.259887468
313	1.254393384
314	1.250282569
315	1.243076313
316	1.238939704
317	1.234612786
318	1.232016725
319	1.226560124
320	1.220025199
321	1.217574941
322	1.214529394
323	1.209727899
324	1.205552204
325	1.202945122
326	1.196802773
327	1.190975585
328	1.186844558
329	1.182947611
330	1.180740105
331	1.176912519
332	1.174140468
333	1.168676417
334	1.165244503
335	1.159832911
336	1.157780918
337	1.154130453
338	1.151758909
339	1.148813856
340	1.145636497
341	1.142821833
342	1.13967714
343	1.137221014
344	1.132353755
345	1.129662123
346	1.127224464
347	1.124465845
348	1.120263991
349	1.116307282
350	1.111555013
351	1.108296003
352	1.103579598
353	1.102046842
354	1.097575836
355	1.095168203
356	1.091347743
357	1.087817344
358	1.084271825
359	1.081655344
360	1.07740301
361	1.074137275
362	1.071324938
363	1.068303914
364	1.065019083
365	1.061043255
366	1.057272475
367	1.05467875
368	1.053008756
369	1.050463463
370	1.047998845
371	1.044354013
372	1.040997648
373	1.03650645
374	1.033876424
375	1.032466345
376	1.029688385
377	1.027134831
378	1.023382136
379	1.019149369
380	1.015108545
381	1.012543157
382	1.010956342
383	1.007130736
384	1.004908033
385	1.001417183
386	0.9989016169
387	0.9965337054
388	0.9944375724
389	0.9923425246
390	0.9904231479
391	0.987709987
392	0.9858830217
393	0.9833656835
394	0.9803087072
395	0.9777023274
396	0.9742668601
397	0.9730650141
398	0.9715205431
399	0.9697171591
400	0.9685159487
401	0.9672430568
402	0.96442593
403	0.9616170511
404	0.9599920952
405	0.9589096739
406	0.9573617098
407	0.9555723381
408	0.954319324
409	0.9526576001
410	0.9493339645
411	0.946283413
412	0.944457048
413	0.9417980255
414	0.9390874669
415	0.9372103852
416	0.935147276
417	0.9333705061
418	0.9319759432
419	0.9306455743
420	0.9281742399
421	0.9271821133
422	0.9253649626
423	0.9240175831
424	0.9227950511
425	0.9209452804
426	0.9183051189
427	0.9156085285
428	0.9142110144
429	0.9114531872
430	0.9100926144
431	0.9083260077
432	0.9068501681
433	0.9041535479
434	0.9030628852
435	0.9009343066
436	0.8994145683
437	0.8973507204
438	0.8957218834
439	0.8941181973
440	0.892454929
441	0.8912675587
442	0.8896564518
443	0.8867791846
444	0.8844613762
445	0.8830665469
446	0.8805946212
447	0.8790022915
448	0.8777753558
449	0.8761869197
450	0.8735824772
451	0.8715255581
452	0.8700447899
453	0.8687434484
454	0.8663905292
455	0.8653756014
456	0.8643761503
457	0.86318914
458	0.8622650604
459	0.8611841173
460	0.8587014582
461	0.8562384734
462	0.8550685435
463	0.852985008
464	0.85144303
465	0.8494680576
466	0.8478350811
467	0.8468809452
468	0.8454949128
469	0.8438293461
470	0.8420358813
471	0.8409849446
472	0.838871563
473	0.8368688546
474	0.8357096133
475	0.8353107701
476	0.8339678223
477	0.8326308448
478	0.8315134003
479	0.8305335464
480	0.8295242426
481	0.8273491376
482	0.8263215282
483	0.8250346079
484	0.8230307305
485	0.8222753235
486	0.8210242047
487	0.8191253157
488	0.8181031331
489	0.817538401
490	0.8154707232
491	0.8146731588
492	0.8139188294
493	0.8123126352
494	0.8117186121
495	0.8103422496
496	0.8091993159
497	0.8080569509
498	0.8069596136
499	0.8052653681
500	0.8045913481
501	0.8036605596
502	0.8015881664
503	0.799723108
504	0.7992313102
505	0.7978425244
506	0.7959608707
507	0.7940730138
508	0.7928394442
