iter	Passed	Remaining
0	145	145483
1	146	72885
2	146	48698
3	146	36583
4	147	29314
5	147	24456
6	147	20994
7	148	18399
8	148	16380
9	149	14764
10	149	13441
11	149	12340
12	150	11407
13	150	10610
14	151	9918
15	151	9314
16	151	8772
17	152	8298
18	152	7874
19	152	7490
20	153	7143
21	153	6828
22	154	6541
23	154	6276
24	154	6034
25	155	5810
26	155	5604
27	155	5411
28	156	5233
29	156	5064
30	156	4902
31	157	4756
32	157	4619
33	158	4489
34	158	4367
35	158	4252
36	159	4140
37	159	4037
38	159	3939
39	160	3845
40	160	3757
41	160	3670
42	161	3589
43	161	3513
44	162	3439
45	162	3369
46	162	3301
47	163	3236
48	163	3174
49	163	3115
50	164	3056
51	164	3002
52	165	2949
53	165	2899
54	166	2852
55	166	2805
56	166	2759
57	167	2715
58	167	2672
59	167	2631
60	168	2592
61	168	2553
62	169	2515
63	169	2479
64	169	2444
65	170	2410
66	170	2377
67	171	2345
68	171	2314
69	171	2284
70	172	2254
71	172	2224
72	173	2196
73	173	2169
74	173	2142
75	174	2117
76	174	2091
77	174	2067
78	175	2043
79	175	2020
80	176	1997
81	176	1975
82	176	1952
83	177	1931
84	177	1911
85	177	1891
86	178	1871
87	178	1851
88	179	1832
89	179	1813
90	179	1796
91	180	1778
92	180	1761
93	181	1745
94	181	1729
95	182	1713
96	182	1698
97	182	1682
98	183	1667
99	183	1652
100	184	1638
101	184	1623
102	184	1609
103	185	1595
104	185	1582
105	186	1569
106	186	1555
107	186	1542
108	187	1529
109	187	1517
110	187	1504
111	188	1492
112	188	1480
113	189	1469
114	189	1457
115	189	1446
116	190	1435
117	190	1424
118	190	1413
119	191	1403
120	191	1392
121	192	1381
122	192	1371
123	192	1362
124	193	1352
125	193	1343
126	194	1334
127	194	1325
128	194	1316
129	195	1307
130	195	1299
131	196	1290
132	196	1282
133	197	1274
134	197	1266
135	197	1257
136	198	1249
137	198	1241
138	199	1233
139	199	1225
140	199	1218
141	200	1210
142	200	1202
143	201	1195
144	201	1188
145	201	1180
146	202	1173
147	202	1166
148	203	1159
149	203	1152
150	203	1146
151	204	1139
152	204	1132
153	205	1126
154	205	1119
155	205	1113
156	206	1106
157	206	1100
158	206	1094
159	207	1088
160	207	1082
161	208	1076
162	208	1071
163	208	1065
164	209	1059
165	209	1054
166	210	1048
167	210	1043
168	211	1038
169	211	1032
170	211	1027
171	212	1022
172	212	1016
173	213	1011
174	213	1006
175	213	1001
176	214	996
177	214	991
178	215	986
179	215	981
180	215	976
181	216	971
182	216	966
183	216	962
184	217	957
185	217	952
186	218	948
187	218	943
188	218	939
189	219	934
190	219	930
191	220	926
192	220	921
193	220	917
194	221	913
195	221	909
196	222	905
197	222	901
198	222	897
199	223	893
200	223	889
201	224	885
202	224	881
203	225	878
204	225	874
205	225	870
206	226	867
207	226	863
208	227	859
209	227	856
210	228	853
211	228	849
212	228	845
213	229	842
214	229	838
215	230	835
216	230	831
